,1,,,2
113881,248.7578888,,106853,181.0526276
114061,248.6736755,,107053,42.3578949
114161,247.7473755,,107153,7.242111206
114362,248.8421173,,107354,186.7789459
114466,248.7578888,,107454,179.1999969
114663,248.5052795,,107654,181.1368561
114770,247.8315887,,107754,184.0842133
114965,246.4842224,,107855,184.2526245
115109,245.6420898,,108055,184.1684265
115266,243.3684235,,108156,183.1578979
115372,244.8000031,,108358,181.4736938
115571,241.0105286,,108658,180.8000031
115771,219.705246,,108759,181.0526276
115897,12.46316528,,108959,180.9684143
116075,4.126312256,,109059,181.3894806
116190,121.4315796,,109159,180.042099
116378,246.3999939,,109360,178.7789612
116485,247.9157867,,109460,179.7894897
116679,246.4842224,,109660,179.7052612
116779,246.1473846,,109760,178.7789612
116983,245.4736938,,109961,180.042099
117083,245.3052521,,110161,181.9789429
117285,245.2210541,,110363,181.2210541
117414,244.5473633,,110466,181.8105316
117586,244.6315613,,110663,181.3894806
117697,245.0526276,,110764,181.3052521
117892,244.6315613,,110965,181.3894806
117992,244.8842163,,111065,181.3052521
118193,245.1368561,,111165,181.3894806
118187,downRight2,,111266,downRight1
118306,245.7263184,,111366,181.9789429
118495,245.1368561,,111470,180.2947235
118598,245.4736938,,111666,180.2105255
118796,245.6420898,,111767,180.9684143
118896,245.9789429,,111973,181.0526276
119097,247.578949,,112067,180.7157898
119216,248.421051,,112167,182.9894562
119397,248.3368378,,112368,182.9052582
119498,248.1684265,,112468,184.421051
119700,249.0105133,,112668,183.9999847
119827,248.6736755,,112769,184.6736755
120001,248.9263153,,112969,184.1684265
120104,248.6736755,,113069,183.4105225
120311,247.7473755,,113269,184.3368378
120411,246.3157806,,113370,185.0947418
120613,243.1999969,,113470,183.7473755
120713,239.6631622,,113670,183.8315887
120916,238.4842072,,113971,183.494751
121038,217.6000061,,114071,183.0736847
121217,10.18946838,,114271,182.2315826
121338,4.126312256,,114388,181.9789429
121522,146.6947327,,114488,182.2315826
121641,246.6526184,,114679,182.3157806
121827,247.2421112,,114779,178.6105194
121943,246.8210602,,114980,156.2105255
122130,245.7263184,,115080,59.11579895
122243,246.0631561,,115281,38.56842041
122430,243.8736877,,115387,119.8315887
122548,244.1263275,,115481,178.5263214
122732,243.4526367,,115682,184.0842133
122848,242.3578949,,115782,185.0947418
123034,242.9473572,,115982,185.7684174
123135,243.4526367,,116083,185.5157928
123335,244.042099,,116283,184.2526245
123435,243.9578857,,116383,184.3368378
123401,downRight3,,116484,185.3473511
123636,245.0526276,,116684,184.9263153
123836,244.6315613,,116784,183.2421112
124138,245.3052521,,116985,181.2210541
124266,246.7368469,,117093,181.4736938
124439,247.663147,,117285,182.0631561
124550,247.578949,,117587,180.9684143
124741,247.663147,,117687,182.2315826
124853,248.6736755,,117787,181.0526276
125046,248.5052795,,117987,181.1368561
125146,248.5894775,,118087,181.7263184
125347,248.7578888,,118187,downRight2
125447,248.6736755,,118311,181.8105316
125647,247.9999847,,118388,180.5473633
125774,248.1684265,,118588,181.6420898
125950,248.5894775,,118688,180.4631653
126066,247.578949,,118789,180.2105255
126257,248.2526245,,118989,181.2210541
126357,246.4842224,,119096,184.2526245
126557,246.3999939,,119290,183.8315887
126671,242.4421082,,119393,184.421051
126861,145.4315796,,119590,184.2526245
